Name,Template,Reference
1d-interleaved-parityfec,,[RFC6015]
32kadpcm,,[RFC3802][RFC2421]
3gpp,,[RFC3839][RFC6381]
3gpp2,,[RFC4393][RFC6381]
ac3,,[RFC4184]
AMR,,[RFC4867]
AMR-WB,,[RFC4867]
amr-wb,,[RFC4352]
asc,,[RFC6295]
ATRAC-ADVANCED-LOSSLESS,,[RFC5584]
ATRAC-X,,[RFC5584]
ATRAC3,,[RFC5584]
basic,,[RFC2045][RFC2046]
BV16,,[RFC4298]
BV32,,[RFC4298]
clearmode,,[RFC4040]
CN,,[RFC3389]
DAT12,,[RFC3190]
dls,,[RFC4613]
dsr-es201108,,[RFC3557]
dsr-es202050,,[RFC4060]
dsr-es202211,,[RFC4060]
dsr-es202212,,[RFC4060]
DV,,[RFC6469]
DVI4,,[RFC4856]
eac3,,[RFC4598]
encaprtp,audio/encaprtp,[RFC6849]
EVRC,,[RFC4788]
EVRC-QCP,,[RFC3625]
EVRC0,,[RFC4788]
EVRC1,,[RFC4788]
EVRCB,,[RFC5188]
EVRCB0,,[RFC5188]
EVRCB1,,[RFC4788]
EVRCNW,audio/EVRCNW,[RFC6884]
EVRCNW0,audio/EVRCNW0,[RFC6884]
EVRCNW1,audio/EVRCNW1,[RFC6884]
EVRCWB,,[RFC5188]
EVRCWB0,,[RFC5188]
EVRCWB1,,[RFC5188]
example,,[RFC4735]
fwdred,,[RFC6354]
G719,,"[RFC5404][RFC Errata 
          3245]"
G722,,[RFC4856]
G7221,,[RFC5577]
G723,,[RFC4856]
G726-16,,[RFC4856]
G726-24,,[RFC4856]
G726-32,,[RFC4856]
G726-40,,[RFC4856]
G728,,[RFC4856]
G729,,[RFC4856]
G7291,,[RFC4749][RFC5459]
G729D,,[RFC4856]
G729E,,[RFC4856]
GSM,,[RFC4856]
GSM-EFR,,[RFC4856]
GSM-HR-08,,[RFC5993]
iLBC,,[RFC3952]
ip-mr_v2.5,,[RFC6262]
L8,,[RFC4856]
L16,,[RFC4856]
L20,,[RFC3190]
L24,,[RFC3190]
LPC,,[RFC4856]
mobile-xmf,,[RFC4723]
MPA,,[RFC3555]
mp4,,[RFC4337][RFC6381]
MP4A-LATM,,[RFC6416]
mpa-robust,,[RFC5219]
mpeg,,[RFC3003]
mpeg4-generic,,[RFC3640][RFC5691][RFC6295]
ogg,,[RFC5334]
parityfec,,[RFC5109]
PCMA,,[RFC4856]
PCMA-WB,,[RFC5391]
PCMU,,[RFC4856]
PCMU-WB,,[RFC5391]
prs.sid,audio/prs.sid,[Linus_Walleij]
QCELP,,[RFC3555][RFC3625]
raptorfec,,[RFC6682]
RED,,[RFC3555]
rtp-enc-aescm128,audio/rtp-enc-aescm128,[ThreeGPP]
