Name,Template,Reference
3mf,model/3mf,[http://www.3mf.io/specification][_3MF][Michael_Sweet]
example,model/example,[RFC4735]
gltf-binary,model/gltf-binary,[Khronos][Saurabh_Bhatia]
gltf+json,model/gltf+json,[Khronos][Uli_Klumpp]
iges,model/iges,[Curtis_Parks]
mesh,,[RFC2077]
stl,model/stl,[DICOM_Standards_Committee][Lisa_Spellman]
vnd.collada+xml,model/vnd.collada+xml,[James_Riordon]
vnd.dwf,model/vnd.dwf,[Jason_Pratt]
vnd.flatland.3dml,model/vnd.flatland.3dml,[Michael_Powers]
vnd.gdl,model/vnd.gdl,[Attila_Babits]
vnd.gs-gdl,model/vnd.gs-gdl,[Attila_Babits]
vnd.gtw,model/vnd.gtw,[Yutaka_Ozaki]
vnd.moml+xml,model/vnd.moml+xml,[Christopher_Brooks]
vnd.mts,model/vnd.mts,[Boris_Rabinovitch]
vnd.opengex,model/vnd.opengex,[Eric_Lengyel]
vnd.parasolid.transmit.binary,model/vnd.parasolid.transmit.binary,[Parasolid]
vnd.parasolid.transmit.text,model/vnd.parasolid.transmit.text,[Parasolid]
vnd.rosette.annotated-data-model,model/vnd.rosette.annotated-data-model,[Benson_Margulies]
vnd.usdz+zip,model/vnd.usdz+zip,[Sebastian_Grassia]
vnd.valve.source.compiled-map,model/vnd.valve.source.compiled-map,[Henrik_Andersson]
vnd.vtu,model/vnd.vtu,[Boris_Rabinovitch]
vrml,,[RFC2077]
x3d-vrml,model/x3d-vrml,[Web3D][Web3D_X3D]
x3d+fastinfoset,model/x3d+fastinfoset,[Web3D_X3D]
x3d+xml,model/x3d+xml,[Web3D][Web3D_X3D]
